"","edo","mun","loc","cons","s7c7ep01","s7c7ep02","s7c7ep03i","s7c7ep04ai","s7c7ep04bi","s7c7ep04ci","s7c7ep05i","s7c7ep06i","s7c7ep03ii","s7c7ep04aii","s7c7ep04bii","s7c7ep04cii","s7c7ep05ii","s7c7ep06ii","s7c7ep03iii","s7c7ep04aiii","s7c7ep04biii","s7c7ep04ciii","s7c7ep05iii","s7c7ep06iii","s7c7ep07","s7c7ep08i","s7c7ep09i","s7c7ep10i","s7c7ep11i","s7c7ep12i_lc","s7c7ep12i_lit","s7c7ep13i_mc","s7c7ep13i_mit","s7c7ep14i_edo","s7c7ep08ii","s7c7ep09ii","s7c7ep10ii","s7c7ep11ii","s7c7ep12ii_lc","s7c7ep12ii_lit","s7c7ep13ii_mc","s7c7ep13ii_mit","s7c7ep14ii_edo","s7c7ep08iii","s7c7ep09iii","s7c7ep10iii","s7c7ep11iii","s7c7ep12iii_lc","s7c7ep12iii_lit","s7c7ep13iii_mc","s7c7ep13iii_mit","s7c7ep14iii_edo","s7c7fp01","s7c7fp02","s7c7fp03","s7c7fp04","s7c7fp05","s7c7fp06","s7c7fp07","s7c7fp08","s7c7gp01","s7c7gp02","s7c7gp03a","s7c7gp03b","s7c7gp03c","s7c7gp03d","s7c7gp03e","s7c7gp04a","s7c7gp04b","s7c7gp04c","s7c7gp04d","s7c7gp04e","s7c7gp04_ca","s7c7gp04_cb","s7c7gp04_cc","s7c7gp04_cd","s7c7gp04_ce","s7c7gp05a","s7c7gp05b","s7c7gp05c","s7c7gp05d","s7c7gp05e","s7c7gp06a","s7c7gp06b","s7c7gp06c","s7c7gp06d","s7c7gp06e","s7c7gp07","s7c7gp08","s7c7gp09","s7c7gp09_c","s7c7gp10","s7c7gp11","s7c7gp12","s7c7gp12_c","s7c7gp13","s7c7hp01","s7c7hp02","s7c7hp03","s7c7hp04","s7c7hp05","s7c7hp06","s7c7hp07","s7c7hp08","s7c7hp09_lc","s7c7hp09_lit","s7c7hp10_mc","s7c7hp10_mit","s7c7hp11_edo","estrato","ponderador"
"11",15,124,53,228,2,1,16,1,12,20,8,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA," ",NA," ",NA,2,1,2,NA,1,500,0,0,2,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,7,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,2,NA,NA,NA,"",NA,"",NA,1,994.5117739403
"12",25,11,816,1125,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA," ",NA," ",NA,2,1,2,NA,2,NA,150,200,2,1,3,4,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,7,7,NA,NA,NA,5,5,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,2,NA,NA,NA,"",NA,"",NA,1,994.5117739403
"13",30,108,112,1465,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA," ",NA," ",NA,2,1,1,88888,NA,NA,0,0,2,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,7,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,2,NA,NA,NA,"",NA,"",NA,1,994.5117739403
"14",20,260,2,2164,2,1,19,1,12,5,12,88888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA," ",NA," ",NA,2,1,1,88888,NA,NA,0,0,2,1,1,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,7,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,2,NA,NA,NA,"",NA,"",NA,2,1914.9769291965
"15",27,5,110,1318,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA," ",NA," ",NA,1,1,1,88888,NA,NA,0,0,1,1,2,4,NA,NA,NA,1,3,NA,NA,NA,1,1,NA,NA,NA,5,6,NA,NA,NA,2,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,NA,2,NA,NA,NA,"",NA,"",NA,1,994.5117739403
"16",15,124,32,202,5,1,19,0.5,13,100,12,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA," ",NA," ",NA,5,1,88888,NA,NA,NA,0,0,5,1,3,NA,NA,NA,NA,30,NA,NA,NA,NA,2,NA,NA,NA,NA,7,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,2,NA,2,NA,NA,NA,"",NA,"",NA,1,994.5117739403
"17",10,4,54,1567,1,1,16,700,1,NA,5,1,3,25,7,30,5,40,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA," ",NA," ",NA,1,1,2,NA,1,1000,4000,600,1,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,7,NA,NA,NA,NA,5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,NA,1,10000,2,1,"GUADALUPE VICTORIA",8,"GUADALUPE VICTORIA",10,2,1914.9769291965
"18",30,159,26,962,5,1,13,4,1,NA,12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA," ",NA," ",NA,5,1,1,300,NA,NA,130,70,5,1,1,2,NA,NA,NA,5,5,NA,NA,NA,2,2,NA,NA,NA,7,7,NA,NA,NA,12,12,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,2,NA,2,NA,NA,NA,"",NA,"",NA,1,994.5117739403
"19",20,453,1,2244,2,1,19,6,12,2,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA," ",NA," ",NA,2,1,1,2000,NA,NA,0,0,2,1,1,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,7,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,1,0,NA,NA,"",NA,"",NA,2,1914.9769291965
"20",15,124,53,227,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,240,12,1,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA," ",NA," ",NA,1,1,2,NA,2,NA,88888,0,1,1,2,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,7,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,NA,1,0,NA,NA,"",NA,"",NA,1,994.5117739403
"21",16,75,9,2122,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA," ",NA," ",NA,1,1,88888,NA,NA,NA,0,0,1,1,1,NA,NA,NA,NA,30,NA,NA,NA,NA,2,NA,NA,NA,NA,7,NA,NA,NA,NA,10,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,NA,2,NA,NA,NA,"",NA,"",NA,2,1914.9769291965
"22",15,113,35,296,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,19,45,12,1,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA," ",NA," ",NA,2,1,1,88888,NA,NA,0,0,2,1,1,2,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,6,6,NA,NA,NA,12,12,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,2,NA,NA,NA,"",NA,"",NA,2,1914.9769291965
"23",15,124,32,204,2,1,19,30,1,NA,4,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA," ",NA," ",NA,2,1,3,NA,2,NA,0,0,2,1,1,2,8,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,7,7,5,NA,NA,12,12,12,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,2,NA,NA,NA,"",NA,"",NA,1,994.5117739403
"24",21,186,29,816,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA," ",NA," ",NA,2,1,1,1000,NA,NA,0,0,2,1,2,NA,NA,NA,NA,20,NA,NA,NA,NA,2,NA,NA,NA,NA,7,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,2,NA,NA,NA,"",NA,"",NA,2,1914.9769291965
"25",19,17,77,1491,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA," ",NA," ",NA,2,1,3,NA,2,NA,10,0,2,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,2,NA,NA,NA,"",NA,"",NA,2,1914.9769291965
"26",32,38,113,1941,1,1,19,50,1,NA,12,2.5,16,100,1,NA,12,1.6,9,50,1,NA,12,2.2,2,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA," ",NA," ",NA,1,1,3,NA,2,NA,1300,300,1,1,1,2,3,4,NA,6,6,6,6,NA,1,1,1,1,NA,7,7,7,7,NA,12,12,12,12,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,NA,1,0,NA,NA,"",NA,"",NA,1,994.5117739403
"27",10,4,54,1576,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,500,3,2,1,"CUENCAMÉ DE CENICEROS",4,"CUENCAMÉ",10,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA," ",NA," ",NA,1,1,88888,NA,NA,NA,88888,500,1,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,7,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,NA,2,NA,NA,NA,"",NA,"",NA,2,1914.9769291965
"28",16,75,9,2128,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,230,2,2,1,"ENSENADA",1,"ENSENADA",2,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA," ",NA," ",NA,2,1,88888,NA,NA,NA,2000,0,2,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,1,0,NA,NA,"",NA,"",NA,2,1914.9769291965
"29",8,7,1,1064,2,1,13,5,1,NA,12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA," ",NA," ",NA,2,1,1,1000,NA,NA,0,0,2,1,1,NA,NA,NA,NA,50,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,1,0,NA,NA,"",NA,"",NA,2,1914.9769291965
"30",15,124,83,96,5,1,19,2,7,22222,4,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA," ",NA," ",NA,5,1,1,88888,NA,NA,0,0,5,1,1,NA,NA,NA,NA,10,NA,NA,NA,NA,2,NA,NA,NA,NA,7,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,2,NA,2,NA,NA,NA,"",NA,"",NA,1,994.5117739403
"31",15,124,32,202,2,1,19,0.5,13,100,12,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA," ",NA," ",NA,2,1,88888,NA,NA,NA,0,0,2,1,3,NA,NA,NA,NA,30,NA,NA,NA,NA,2,NA,NA,NA,NA,7,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,2,NA,NA,NA,"",NA,"",NA,1,994.5117739403
"32",7,23,125,2283,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA," ",NA," ",NA,5,1,3,NA,2,NA,0,0,5,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,7,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,2,NA,2,NA,NA,NA,"",NA,"",NA,1,994.5117739403
"33",15,124,38,168,2,1,19,21,1,NA,12,2,13,10,1,NA,12,5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA," ",NA," ",NA,2,1,1,88888,NA,NA,0,0,2,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,7,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,2,NA,NA,NA,"",NA,"",NA,1,994.5117739403
"34",19,17,77,3314,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA," ",NA," ",NA,2,1,3,NA,2,NA,140,0,2,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,7,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,2,NA,NA,NA,"",NA,"",NA,2,1914.9769291965
"35",20,260,2,2167,1,1,19,90,1,NA,3,1,19,20,12,5,12,50,NA,NA,NA,NA,NA,NA,1,19,200,2,2,88888,"NO SABE",88888,"NO SABE",20,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA," ",NA," ",NA,1,1,3,NA,2,NA,300,200,1,1,1,3,NA,NA,NA,2,6,NA,NA,NA,1,1,NA,NA,NA,7,7,NA,NA,NA,12,12,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,NA,2,NA,NA,NA,"",NA,"",NA,2,1914.9769291965
"36",20,260,2,2184,2,1,19,1,12,15,12,88888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA," ",NA," ",NA,2,1,1,88888,NA,NA,300,300,2,1,1,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,7,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,2,NA,NA,NA,"",NA,"",NA,2,1914.9769291965
"37",15,74,66,253,5,1,13,3,1,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA," ",NA," ",NA,5,1,2,NA,2,NA,0,0,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,2,NA,2,NA,NA,NA,"",NA,"",NA,1,994.5117739403
"38",15,124,83,90,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA," ",NA," ",NA,2,1,1,1000,NA,NA,0,0,2,1,3,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,7,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,2,NA,NA,NA,"",NA,"",NA,1,994.5117739403
"39",25,11,816,1138,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,19,360,12,1,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA," ",NA," ",NA,1,1,3,NA,2,NA,88888,88888,1,1,1,NA,NA,NA,NA,10,NA,NA,NA,NA,2,NA,NA,NA,NA,7,NA,NA,NA,NA,12,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,NA,1,0,NA,NA,"",NA,"",NA,1,994.5117739403
